TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
DBT,INT_LAST_PLAN_IN_PERIOD,ROUTER_NAS_ID,NUMBER,1
DBT,INT_MATURED,ROUTER_NAS_ID,NUMBER,2
DBT,INT_MICRO_FUNNEL,VALIDATE_ROUTER_TIME,TIMESTAMP_NTZ,16
DBT,INT_MICRO_FUNNEL,DEVICE_READY_TIME,TIMESTAMP_NTZ,18
DBT,INT_NAS_REVENUE,ROUTER_NAS_ID,NUMBER,1
DBT,INT_PERIOD_PLANS,ROUTER_NAS_ID,NUMBER,1
DBT,INT_TRUM_PLANS_WITH_NEXT,ROUTER_NAS_ID,NUMBER,1
DBT,INT_WITH_NEXT,ROUTER_NAS_ID,NUMBER,2
DBT,NETBOX_DEVICE_ZONE_MAP,CONNECTION_ID,TEXT,1
DBT,NETBOX_DEVICE_ZONE_MAP,DEVICE_ID,TEXT,2
DBT,NETBOX_DEVICE_ZONE_MAP,CSP_ID,TEXT,3
DBT,NETBOX_DEVICE_ZONE_MAP,PARTNER_ID,NUMBER,4
DBT,NETBOX_DEVICE_ZONE_MAP,ZONE_ID,TEXT,5
DBT,NETBOX_DEVICE_ZONE_MAP,ZONE_NAME,TEXT,6
DBT,OPTICAL_OOR_DEVICE_PCT,DATE_IST,DATE,1
DBT,OPTICAL_OOR_DEVICE_PCT,OOR_DEVICE_COUNT,NUMBER,2
DBT,OPTICAL_OOR_DEVICE_PCT,TOTAL_DEVICES,NUMBER,3
DBT,OPTICAL_OOR_DEVICE_PCT,OOR_PCT,NUMBER,4
DBT,PARTNER_JANAM_KUNDLI,ACTIVE_CUSTOMER_WITH_OPTICAL_POWER,NUMBER,24
DBT,PARTNER_JANAM_KUNDLI,CLAIM_DEVICE_BONUS_M0,FLOAT,38
DBT,PARTNER_JANAM_KUNDLI,DEVICE_BONUS_M0,FLOAT,40
DBT,PARTNER_JANAM_KUNDLI,DEVICE_BONUS_M1,FLOAT,43
DBT,PARTNER_JANAM_KUNDLI,DEVICE_TICKET_M1,NUMBER,51
DBT,PARTNER_JANAM_KUNDLI,DEVICE_TICKET_SLA_M1,NUMBER,52
DBT,PARTNER_JANAM_KUNDLI,DEVICE_TICKET_M2,NUMBER,53
DBT,PARTNER_JANAM_KUNDLI,DEVICE_TICKET_SLA_M2,NUMBER,54
DBT,PARTNER_JANAM_KUNDLI,DEVICE_TICKET_M3,NUMBER,55
DBT,PARTNER_JANAM_KUNDLI,DEVICE_TICKET_SLA_M3,NUMBER,56
DBT,PARTNER_JANAM_KUNDLI,TOTAL_DEVICES,NUMBER,61
DBT,PARTNER_JANAM_KUNDLI,TOTAL_ROUTERS,NUMBER,68
DBT,PARTNER_JANAM_KUNDLI,ACTIVE_ROUTERS,NUMBER,69
DBT,PARTNER_JANAM_KUNDLI,CHURNED_ROUTERS,NUMBER,70
DBT,PARTNER_JANAM_KUNDLI,PARTNER_OFFICE_ROUTERS,NUMBER,71
DBT,PARTNER_JANAM_KUNDLI,REPAIR_ROUTERS,NUMBER,72
DBT,PARTNER_JANAM_KUNDLI,PARTNER_RECOVERED_ROUTERS,NUMBER,73
DBT,PAYG_MIGRATION_AUDIT,DEVICE_ID,TEXT,8
DBT,PING_FLAP_DEVICES,PING_FLAP_DEVICE_COUNT,NUMBER,2
DBT,PING_FLAP_DEVICES,PLAN_ACTIVE_DEVICES,NUMBER,3
DBT,PROFILE_LEAD_MODEL,ROUTER_NAS_ID,TEXT,60
DBT,PROFILE_LEAD_MODEL,DEVICE_ID,TEXT,61
DBT,PYROPS_RETURN_MODEL,DEVICE_ID,TEXT,5
DBT,PYROPS_RETURN_MODEL,DEVICE_TYPE,TEXT,6
DBT,PYROPS_RETURN_MODEL,DEVICE_CONDITION,TEXT,11
DBT,RMA_MODEL,RTV_SERIALNO,TEXT,5
DBT,RMA_MODEL,GRN_SERIALNO,TEXT,6
DBT,SECONDARY_TABLE_DE,DEVICE_LIMIT,NUMBER,6
DBT,SECONDARY_TABLE_DE,ROUTER_NAS_ID,NUMBER,17
