h3_id,eligible_devices,qualifying_events,events_1_to_3_hours,events_over_3_hours,worst_affected_devices,worst_affected_share,longest_event_minutes,latest_event_start_ist,latest_event_end_ist,severity
893da18c24bffff,13,1,1,0,10,0.7692,65.0,2026-07-19 04:25:00,2026-07-19 05:30:00,1_to_3_hours
893da18c24fffff,6,3,1,2,5,0.8333,705.0,2026-07-23 04:15:00,2026-07-23 13:10:00,over_3_hours
893da18c253ffff,7,1,0,1,7,1.0,310.0,2026-07-19 01:10:00,2026-07-19 06:20:00,over_3_hours
893da18c28bffff,44,1,0,1,40,0.9091,210.0,2026-07-31 16:05:00,2026-07-31 19:35:00,over_3_hours
893da18c28fffff,8,1,0,1,8,1.0,215.0,2026-07-31 16:05:00,2026-07-31 19:40:00,over_3_hours
893da18c293ffff,11,9,1,8,9,0.8182,600.0,2026-07-31 16:05:00,2026-07-31 19:35:00,over_3_hours
893da18c29bffff,9,1,0,1,8,0.8889,210.0,2026-07-31 16:05:00,2026-07-31 19:35:00,over_3_hours
893da18c2abffff,6,1,1,0,6,1.0,110.0,2026-07-07 14:00:00,2026-07-07 15:50:00,1_to_3_hours
893da18c2c7ffff,8,1,0,1,8,1.0,210.0,2026-07-31 16:05:00,2026-07-31 19:35:00,over_3_hours
893da18c4abffff,8,1,0,1,6,0.75,475.0,2026-07-19 10:25:00,2026-07-19 18:20:00,over_3_hours
893da18c553ffff,10,2,1,1,9,0.9,980.0,2026-07-28 19:40:00,2026-07-29 12:00:00,over_3_hours
893da18c5cbffff,13,1,1,0,12,0.9231,155.0,2026-07-24 13:30:00,2026-07-24 16:05:00,1_to_3_hours
893da18c623ffff,7,1,1,0,5,0.7143,90.0,2026-07-15 02:50:00,2026-07-15 04:20:00,1_to_3_hours
893da18c683ffff,7,2,1,1,7,1.0,200.0,2026-07-24 09:20:00,2026-07-24 12:40:00,over_3_hours
893da18c68bffff,14,1,1,0,10,0.7143,80.0,2026-07-22 14:45:00,2026-07-22 16:05:00,1_to_3_hours
893da18c6d3ffff,24,1,1,0,21,0.875,65.0,2026-07-01 10:05:00,2026-07-01 11:10:00,1_to_3_hours
893da18c923ffff,13,2,0,2,13,1.0,280.0,2026-07-23 11:25:00,2026-07-23 16:00:00,over_3_hours
893da18c94fffff,7,1,1,0,5,0.7143,65.0,2026-07-23 14:00:00,2026-07-23 15:05:00,1_to_3_hours
893da18c96fffff,5,1,1,0,5,1.0,105.0,2026-07-02 07:05:00,2026-07-02 08:50:00,1_to_3_hours
893da18c973ffff,35,3,0,3,27,0.7714,390.0,2026-07-16 04:15:00,2026-07-16 07:55:00,over_3_hours
893da18c97bffff,23,1,1,0,21,0.913,80.0,2026-07-02 07:25:00,2026-07-02 08:45:00,1_to_3_hours
893da18cad3ffff,25,1,0,1,24,0.96,340.0,2026-07-30 05:50:00,2026-07-30 11:30:00,over_3_hours
893da18cb43ffff,8,2,1,1,8,1.0,310.0,2026-07-28 02:50:00,2026-07-28 08:00:00,over_3_hours
